dt,open,high,low,close,volume,value
2022-08-19 01:30:00,23323.5,23327.0,23304.6,23313.1,867.104,20218307.323200002
2022-08-19 01:31:00,23313.1,23313.1,23265.0,23299.1,2153.646,50174729.20845
2022-08-19 01:32:00,23299.1,23300.0,23260.0,23298.7,1294.892,30157322.489400003
2022-08-19 01:33:00,23298.6,23299.3,23282.4,23285.4,466.038,10854689.124149999
2022-08-19 01:34:00,23285.4,23315.2,23285.4,23311.1,631.867,14722042.996425001
2022-08-19 01:35:00,23311.1,23312.2,23291.1,23291.2,350.697,8171731.0758
2022-08-19 01:36:00,23291.1,23291.1,23259.5,23270.6,811.548,18891275.2101
2022-08-19 01:37:00,23270.7,23282.0,23264.0,23270.4,754.596,17560788.3279
2022-08-19 01:38:00,23270.4,23273.1,23250.1,23261.4,871.781,20280895.23875
2022-08-19 01:39:00,23261.5,23266.9,23250.2,23265.7,389.894,9069353.57605
2022-08-19 01:40:00,23265.7,23276.7,23263.6,23274.7,403.287,9384559.065225
2022-08-19 01:41:00,23274.8,23275.2,23265.2,23268.5,289.363,6733744.670775
2022-08-19 01:42:00,23268.5,23273.7,23255.0,23259.3,350.561,8155494.924125
2022-08-19 01:43:00,23259.4,23271.0,23259.3,23271.0,194.161,4517189.643175
2022-08-19 01:44:00,23271.0,23271.0,23252.0,23255.6,253.403,5894761.9472
2022-08-19 01:45:00,23255.6,23276.0,23250.0,23269.6,614.659,14298689.385200001
2022-08-19 01:46:00,23269.6,23280.6,23263.0,23280.4,429.841,10003861.5294
2022-08-19 01:47:00,23280.5,23298.0,23280.4,23295.1,497.108,11576899.658
2022-08-19 01:48:00,23295.1,23314.4,23295.0,23301.1,755.096,17594793.9344
2022-08-19 01:49:00,23301.1,23301.2,23282.3,23298.2,325.298,7578044.618600001
2022-08-19 01:50:00,23298.1,23302.0,23295.1,23301.9,176.465,4111506.5628750003
2022-08-19 01:51:00,23302.0,23307.0,23289.1,23303.9,318.987,7432556.5935
2022-08-19 01:52:00,23303.9,23328.0,23299.2,23323.9,544.639,12697577.48625
2022-08-19 01:53:00,23323.9,23352.5,23323.8,23338.7,1465.793,34203876.561924994
2022-08-19 01:54:00,23338.6,23353.1,23338.1,23353.1,467.643,10917464.876175
2022-08-19 01:55:00,23353.0,23353.9,23330.1,23333.9,518.194,12096060.038649999
2022-08-19 01:56:00,23333.9,23341.4,23328.0,23328.1,287.539,6709104.356149999
2022-08-19 01:57:00,23328.0,23340.0,23314.0,23316.8,400.745,9347256.9015
2022-08-19 01:58:00,23316.8,23323.7,23302.2,23323.6,286.936,6690364.764199998
2022-08-19 01:59:00,23323.7,23331.3,23322.1,23326.9,179.538,4187903.3880000003
2022-08-19 02:00:00,23326.8,23332.8,23318.1,23327.6,277.138,6464611.057849999
2022-08-19 02:01:00,23327.7,23341.4,23327.6,23341.3,262.603,6127709.703500001
2022-08-19 02:02:00,23341.2,23354.0,23341.2,23351.8,335.671,7836927.620549999
2022-08-19 02:03:00,23351.8,23380.7,23351.7,23366.1,1034.282,24163490.796149995
2022-08-19 02:04:00,23366.0,23374.9,23340.8,23345.2,383.195,8950180.236374998
2022-08-19 02:05:00,23345.2,23356.7,23345.2,23356.4,144.444,3372893.7885
2022-08-19 02:06:00,23356.4,23361.1,23342.2,23344.7,263.757,6159016.0827
2022-08-19 02:07:00,23344.7,23355.9,23344.7,23355.2,196.585,4590284.323125
2022-08-19 02:08:00,23355.2,23364.4,23346.9,23354.9,241.766,5646529.548099999
2022-08-19 02:09:00,23354.8,23387.3,23346.5,23383.9,584.059,13648363.719375
2022-08-19 02:10:00,23383.9,23384.0,23360.0,23360.0,387.524,9057201.239899999
2022-08-19 02:11:00,23360.1,23389.5,23360.0,23389.4,332.42,7770234.3950000005
2022-08-19 02:12:00,23389.4,23390.0,23366.2,23370.1,424.393,9921852.117525
2022-08-19 02:13:00,23370.0,23384.5,23370.0,23373.3,241.738,5650492.7941000005
2022-08-19 02:14:00,23373.3,23373.3,23362.7,23367.6,202.722,4737456.0304499995
2022-08-19 02:15:00,23367.5,23373.8,23361.6,23361.6,167.153,3905717.892125
